                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6204,                 2.0865,                 1.4622,                 0.0512,                0.23228,                 0.0305,                0.01152,                 2.4029,                    inf,                 3.0399,                 0.0811,                 0.0021,                 0.0021
                      2,                  1.057,                0.88441,                 1.1107,                0.01766,                 0.1994,                 0.0104,                0.00304,                 2.8718,                    inf,                 5.1055,               0.061279,              0.0042787,              0.0042787
                      3,                  0.983,                0.74804,                 1.0722,                0.16675,                0.17021,                0.08205,                0.02371,                  2.801,                    inf,                 3.4765,               0.041436,              0.0064357,              0.0064357
                      4,                0.90583,                0.69235,                 1.0478,                 0.3363,                0.35957,                0.24543,                0.12493,                 1.8497,                 2.3761,                 2.0141,               0.021571,              0.0085708,              0.0085708
                      5,                0.88504,                0.65663,                 1.0359,                0.48882,                0.52561,                0.35344,                0.17207,                 1.7119,                 3.3911,                 1.8438,               0.009802,               0.009802,               0.009802
                      6,                0.83264,                0.60724,                 1.0155,                0.41314,                0.27344,                0.16608,                0.07349,                 2.2061,                    inf,                 2.2954,               0.009802,               0.009802,               0.009802
                      7,                0.80981,                0.58317,                 1.0135,                0.89652,                 0.4337,                0.48486,                0.34242,                 1.1574,                  1.744,                 1.4152,              0.0097525,              0.0097525,              0.0097525
                      8,                0.75618,                0.53464,                0.98609,                0.91059,                0.67538,                  0.788,                0.50753,                  1.156,                 1.3733,                 1.3293,               0.009703,               0.009703,               0.009703
                      9,                0.74104,                0.52384,                0.97827,                  0.837,                0.54222,                0.61717,                0.39935,                 1.1899,                 1.5464,                 1.4388,              0.0096535,              0.0096535,              0.0096535
                     10,                 0.7258,                0.50366,                0.97283,                0.81029,                0.64172,                0.72638,                0.52242,                 1.0705,                 1.1044,                 1.3388,               0.009604,               0.009604,               0.009604
                     11,                 0.6812,                0.48207,                0.95792,                0.93695,                0.82855,                0.92619,                0.76392,                0.67556,                 0.5026,                0.98283,              0.0095545,              0.0095545,              0.0095545
                     12,                0.67174,                0.47061,                0.95731,                0.90965,                0.78297,                0.84747,                 0.6873,                0.74506,                0.65316,                 1.0808,               0.009505,               0.009505,               0.009505
