ID,Parked_at,Left_at,Duration
14,2023-12-27 15:26:14.373709,2023-12-27 15:26:15.018760,0 days 00:00:00.645051
13,2023-12-27 15:26:14.373709,2023-12-27 15:27:34.614582,0 days 00:01:20.240873
15,2023-12-27 15:27:59.571742,2023-12-27 15:28:19.563807,0 days 00:00:19.992065
12,2023-12-27 15:28:25.061230,2023-12-27 15:28:45.266332,0 days 00:00:20.205102
19,2023-12-27 15:28:48.368567,2023-12-27 15:28:50.808887,0 days 00:00:02.440320
20,2023-12-27 15:28:52.263000,2023-12-27 15:29:07.123670,0 days 00:00:14.860670
17,2023-12-27 15:28:54.218679,2023-12-27 15:29:14.401263,0 days 00:00:20.182584
22,2023-12-27 15:29:29.544480,2023-12-27 15:29:49.624067,0 days 00:00:20.079587
16,2023-12-27 15:29:59.543829,2023-12-27 15:30:20.210925,0 days 00:00:20.667096
18,2023-12-27 15:30:11.238728,2023-12-27 15:30:31.992345,0 days 00:00:20.753617
23,2023-12-27 15:30:51.764397,2023-12-27 15:30:56.370751,0 days 00:00:04.606354
24,2023-12-27 15:30:56.372751,2023-12-27 15:30:56.898793,0 days 00:00:00.526042
26,2023-12-27 15:31:00.581075,2023-12-27 15:31:01.143126,0 days 00:00:00.562051
25,2023-12-27 15:31:00.098040,2023-12-27 15:31:06.996568,0 days 00:00:06.898528
28,2023-12-27 15:31:08.054309,2023-12-27 15:31:15.050851,0 days 00:00:06.996542
27,2023-12-27 15:31:10.098467,2023-12-27 15:31:30.574527,0 days 00:00:20.476060
29,2023-12-27 15:31:15.584888,2023-12-27 15:31:30.576527,0 days 00:00:14.991639
30,2023-12-27 15:31:30.578527,2023-12-27 15:31:52.275350,0 days 00:00:21.696823
32,2023-12-27 15:32:05.893464,2023-12-27 15:32:07.544592,0 days 00:00:01.651128
31,2023-12-27 15:31:56.618195,2023-12-27 15:32:09.253464,0 days 00:00:12.635269
33,2023-12-27 15:32:08.172637,2023-12-27 15:32:09.802510,0 days 00:00:01.629873
34,2023-12-27 15:32:09.806506,2023-12-27 15:32:10.951594,0 days 00:00:01.145088
35,2023-12-27 15:32:10.955596,2023-12-27 15:32:18.118158,0 days 00:00:07.162562
5,2023-12-27 15:32:09.257463,2023-12-27 15:32:32.437865,0 days 00:00:23.180402
37,2023-12-27 15:32:40.951035,2023-12-27 15:32:41.646089,0 days 00:00:00.695054
38,2023-12-27 15:32:42.322139,2023-12-27 15:32:44.668322,0 days 00:00:02.346183
39,2023-12-27 15:32:45.782404,2023-12-27 15:32:46.538463,0 days 00:00:00.756059
40,2023-12-27 15:32:50.335752,2023-12-27 15:32:51.449840,0 days 00:00:01.114088
41,2023-12-27 15:32:52.052886,2023-12-27 15:32:53.682009,0 days 00:00:01.629123
42,2023-12-27 15:32:56.460224,2023-12-27 15:32:57.559308,0 days 00:00:01.099084
43,2023-12-27 15:33:05.969973,2023-12-27 15:33:12.649005,0 days 00:00:06.679032
6,2023-12-27 15:32:54.257054,2023-12-27 15:33:16.400810,0 days 00:00:22.143756
8,2023-12-27 15:32:53.138973,2023-12-27 15:33:16.402809,0 days 00:00:23.263836
45,2023-12-27 15:33:15.341727,2023-12-27 15:33:16.404809,0 days 00:00:01.063082
9,2023-12-27 15:32:58.662393,2023-12-27 15:33:21.784223,0 days 00:00:23.121830
36,2023-12-27 15:32:58.662393,2023-12-27 15:33:21.787223,0 days 00:00:23.124830
3,2023-12-27 15:33:03.117750,2023-12-27 15:33:25.863558,0 days 00:00:22.745808
49,2023-12-27 15:33:27.932717,2023-12-27 15:33:31.003955,0 days 00:00:03.071238
47,2023-12-27 15:33:22.300266,2023-12-27 15:33:36.660424,0 days 00:00:14.360158
7,2023-12-27 15:33:17.519895,2023-12-27 15:33:38.294550,0 days 00:00:20.774655
10,2023-12-27 15:33:25.865558,2023-12-27 15:33:46.541225,0 days 00:00:20.675667
4,2023-12-27 15:33:28.882790,2023-12-27 15:33:49.730469,0 days 00:00:20.847679
52,2023-12-27 15:33:48.719392,2023-12-27 15:33:50.807554,0 days 00:00:02.088162
54,2023-12-27 15:33:51.766626,2023-12-27 15:33:53.754780,0 days 00:00:01.988154
1,2023-12-27 15:33:35.008774,2023-12-27 15:33:55.602970,0 days 00:00:20.594196
53,2023-12-27 15:33:50.810553,2023-12-27 15:34:01.643433,0 days 00:00:10.832880
