                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4916,                 1.6754,                 1.4326,                0.01569,                0.11228,                 0.0078,                 0.0013,                 4.2356,                    inf,                 16.616,               0.070682,              0.0032576,              0.0032576
                      2,                 1.0131,                0.74493,                 1.1236,                0.43179,                0.50981,                0.39519,                0.21945,                 1.6306,                 5.1764,                 1.8254,               0.040551,              0.0064604,              0.0064604
                      3,                0.91832,                0.65983,                  1.077,                0.55095,                0.55239,                0.49736,                0.17827,                 2.4735,                 2.9747,                 2.5654,               0.010289,              0.0095312,              0.0095312
                      4,                0.84676,                0.62361,                 1.0432,                0.73522,                0.53911,                0.55896,                0.37577,                 1.2216,                 1.7312,                 1.4115,               0.009406,               0.009406,               0.009406
                      5,                0.76674,                 0.5472,                 1.0094,                0.89057,                0.89656,                0.90941,                0.72355,                0.75344,                0.78558,                  1.031,               0.009406,               0.009406,               0.009406
                      6,                0.71694,                0.50535,                0.99086,                0.94089,                0.84047,                0.91445,                0.75324,                0.73847,                0.64758,                 1.0157,               0.009208,               0.009208,               0.009208
                      7,                0.70485,                0.49404,                0.97987,                0.95224,                0.92318,                 0.9625,                0.79596,                0.65511,                0.51389,                0.98443,                0.00901,                0.00901,                0.00901
                      8,                0.65184,                0.46279,                 0.9645,                0.91605,                0.88793,                0.92979,                0.75957,                0.72767,                0.53961,                  1.012,               0.008812,               0.008812,               0.008812
                      9,                0.64145,                 0.4485,                0.96065,                0.92988,                0.91514,                0.95074,                0.81349,                 0.5947,                0.46621,                0.98117,               0.008614,               0.008614,               0.008614
                     10,                0.63168,                0.45444,                0.95694,                0.94023,                0.91465,                0.95208,                0.83509,                0.57559,                0.43149,                0.96456,               0.008416,               0.008416,               0.008416
                     11,                0.60268,                0.43268,                0.94508,                0.95401,                 0.9185,                0.95887,                0.85726,                0.50396,                0.41177,                0.94206,               0.008218,               0.008218,               0.008218
                     12,                0.59818,                0.42017,                0.94341,                 0.9462,                0.92409,                0.95712,                0.83758,                0.56849,                0.42941,                0.94905,                0.00802,                0.00802,                0.00802
                     13,                0.59349,                 0.4097,                0.93549,                0.96387,                0.93953,                 0.9649,                0.84224,                0.56255,                0.38187,                0.95453,               0.007822,               0.007822,               0.007822
                     14,                0.58235,                0.40349,                0.93309,                0.95523,                 0.9357,                0.96314,                0.85323,                0.53077,                0.36304,                0.94608,               0.007624,               0.007624,               0.007624
                     15,                0.56828,                 0.4005,                0.93231,                0.95802,                0.83069,                0.90934,                0.79553,                0.57796,                0.43964,                0.96296,               0.007426,               0.007426,               0.007426
                     16,                0.55883,                 0.3891,                0.92755,                0.96329,                0.91716,                0.96634,                0.87693,                0.48793,                0.34959,                0.92536,               0.007228,               0.007228,               0.007228
